Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-01-01,SBIN,EQ,333.75,334.7,335.95,332.15,335.0,334.45,334.03,17379320,580512951365000.0,99108,1850790,0.10650000000000001
2020-01-02,SBIN,EQ,334.45,334.5,339.85,333.35,338.8,339.3,336.81,20324236,684534147635000.0,123189,4239894,0.2086
2020-01-03,SBIN,EQ,339.3,337.95,337.95,332.0,334.0,333.7,335.08,21853208,732260045400000.0,139793,6309081,0.2887
2020-01-06,SBIN,EQ,333.7,331.7,331.7,317.7,318.4,319.0,322.03,35645325,1147882441165000.0,280646,8731362,0.245
2020-01-07,SBIN,EQ,319.0,324.45,327.0,315.4,317.9,318.4,320.38,50966826,1632867724635000.0,310782,9993754,0.1961
2020-01-08,SBIN,EQ,318.4,312.1,321.5,311.0,319.35,319.8,315.88,44527485,1406525333655000.0,259968,5957208,0.1338
2020-01-09,SBIN,EQ,319.8,326.9,331.4,325.0,330.1,330.2,328.58,40348407,1325761971490000.0,255624,10231744,0.2536
2020-01-10,SBIN,EQ,330.2,331.0,337.95,328.1,332.45,332.25,333.63,42377838,1413861957670000.0,247022,6229098,0.147
2020-01-13,SBIN,EQ,332.25,334.0,335.45,329.05,330.6,330.75,331.73,23615129,783385062465000.0,156310,4383811,0.1856
2020-01-14,SBIN,EQ,330.75,329.8,331.7,326.5,328.1,328.0,328.53,26296117,863903546810000.0,170473,7985361,0.3037
2020-01-15,SBIN,EQ,328.0,329.0,329.2,322.35,324.0,324.25,324.3,32625740,1058053756275000.0,243663,13009985,0.39880000000000004
2020-01-16,SBIN,EQ,324.25,324.0,326.9,322.35,323.1,323.3,324.48,26653623,864865840660000.0,182806,7131955,0.2676
2020-01-17,SBIN,EQ,323.3,313.0,323.5,310.1,318.0,318.0,317.9,58396326,1856397287125000.0,290272,21611847,0.3701
2020-01-20,SBIN,EQ,318.0,321.0,321.45,313.4,314.0,314.0,315.92,30682902,969323327515000.0,194552,9480868,0.309
2020-01-21,SBIN,EQ,314.0,313.8,316.95,312.0,313.9,313.7,314.33,30591772,961585704890000.0,195704,8007764,0.2618
2020-01-22,SBIN,EQ,313.7,317.0,317.0,313.7,315.65,316.15,315.3,24994911,788097227780000.0,154068,6323683,0.253
2020-01-23,SBIN,EQ,316.15,316.0,324.8,314.15,323.15,323.2,320.25,33293610,1066218021610000.0,227748,7297640,0.21920000000000003
2020-01-24,SBIN,EQ,323.2,323.5,327.3,321.15,324.3,324.05,325.15,22706879,738324738375000.0,146667,3659434,0.1612
2020-01-27,SBIN,EQ,324.05,320.9,322.0,315.8,316.4,316.2,318.82,23309355,743155762330000.0,148768,4320370,0.18530000000000002
2020-01-28,SBIN,EQ,316.2,317.95,320.0,311.05,316.4,315.1,316.67,26488426,838801522810000.0,173879,3621852,0.13670000000000002
2020-01-29,SBIN,EQ,315.1,317.85,319.7,315.55,316.95,316.45,317.75,23914114,759870448845000.0,143297,3732713,0.1561
2020-01-30,SBIN,EQ,316.45,316.75,316.75,305.65,310.0,310.7,311.18,35802330,1114101785500000.0,227687,10298428,0.2876
2020-01-31,SBIN,EQ,310.7,313.7,321.7,308.6,318.1,318.45,316.25,92656638,2930266567335000.0,457787,16448194,0.1775
2020-02-01,SBIN,EQ,318.45,317.95,322.65,296.3,302.8,302.6,313.18,61841736,1936738313195000.0,402634,13375904,0.2163
